periode,tanggal_sampel,kategori,harga_konsumen_jatim_rp_per_kg,satuan,sumber
2024-08,2024-08-15,BERAS MEDIUM,12110,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-08,2024-08-15,BERAS PREMIUM,14247,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-08,2024-08-15,JAGUNG PIPIL KERING,7933,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-09,2024-09-15,BERAS MEDIUM,12203,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-09,2024-09-15,BERAS PREMIUM,14218,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-09,2024-09-15,JAGUNG PIPIL KERING,7973,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-10,2024-10-15,BERAS MEDIUM,12232,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-10,2024-10-15,BERAS PREMIUM,14235,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-10,2024-10-15,JAGUNG PIPIL KERING,7895,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-11,2024-11-15,BERAS MEDIUM,12233,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-11,2024-11-15,BERAS PREMIUM,14254,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-11,2024-11-15,JAGUNG PIPIL KERING,7801,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-12,2024-12-15,BERAS MEDIUM,12222,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-12,2024-12-15,BERAS PREMIUM,14262,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2024-12,2024-12-15,JAGUNG PIPIL KERING,7722,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-01,2025-01-15,BERAS MEDIUM,12247,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-01,2025-01-15,BERAS PREMIUM,14271,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-01,2025-01-15,JAGUNG PIPIL KERING,7680,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-02,2025-02-15,BERAS MEDIUM,12326,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-02,2025-02-15,BERAS PREMIUM,14298,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-02,2025-02-15,JAGUNG PIPIL KERING,7620,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-03,2025-03-15,BERAS MEDIUM,12444,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-03,2025-03-15,BERAS PREMIUM,14437,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-03,2025-03-15,JAGUNG PIPIL KERING,7529,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-04,2025-04-15,BERAS MEDIUM,12463,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-04,2025-04-15,BERAS PREMIUM,14488,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-04,2025-04-15,JAGUNG PIPIL KERING,7449,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-05,2025-05-15,BERAS MEDIUM,12451,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-05,2025-05-15,BERAS PREMIUM,14486,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-05,2025-05-15,JAGUNG PIPIL KERING,7453,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-06,2025-06-15,BERAS MEDIUM,12621,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-06,2025-06-15,BERAS PREMIUM,14697,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-06,2025-06-15,JAGUNG PIPIL KERING,7451,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-07,2025-07-15,BERAS MEDIUM,12829,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-07,2025-07-15,BERAS PREMIUM,14866,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
2025-07,2025-07-15,JAGUNG PIPIL KERING,7523,RP/KG,Siskaperbapo Jatim (Propinsi Jawa Timur)
